MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,node,linkers
hMOF-1003312,FOC1([O])[C]2C(F)C3[C]4C51C2C1C5[CH][C]2C4C31C2([O])OF.FOC1([O])[C]2C3C41[C]1C(C2(F)F)C2([C]3C4C([CH]C12)(F)F)C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.716978,2.22013,2.7804,3.73625,4.31422,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['FOC1([O])[C]2C(F)C3[C]4C51C2C1C5[CH][C]2C4C31C2([O])OF', 'FOC1([O])[C]2C3C41[C]1C(C2(F)F)C2([C]3C4C([CH]C12)(F)F)C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]']"
hMOF-1003310,FOC1([O])[C]2C(F)(F)C3[C]4C51C2(F)C1C5(F)C(=CC4C31C(=O)[O-])F.FOC1([O])[C]2C3C41C1[C]3C3(C([C]2F)(C4C3[CH]C1(F)F)F)C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1)F)C(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,1.02462,2.15068,2.725,3.25694,3.85638,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['FOC1([O])[C]2C(F)(F)C3[C]4C51C2(F)C1C5(F)C(=CC4C31C(=O)[O-])F', 'FOC1([O])[C]2C3C41C1[C]3C3(C([C]2F)(C4C3[CH]C1(F)F)F)C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(c(c1)F)C(=O)[O-]', '[O-]C(=O)c1cc(F)c(c(c1F)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]']"
hMOF-7001054,[O-]C(=O)C#CC12CCC(C(C1)(C)C)(C(C2C)(C)C)C#CC(=O)[O-].[O-]C(=O)C12C(C)C(C)C(C(C1C)C)(C(C2C)(C)C)C(=O)[O-].[O-]C(=O)C12CC(C)(C)C(C(C1C)(C)C)(C(C2(C)C)C)C(=O)[O-].[O-]C(=O)C12CC(C)(C)C(C(C1C)C)(C(C2C)C)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001054,1.6386,2.33337,2.70379,3.58068,4.79983,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C#CC12CCC(C(C1)(C)C)(C(C2C)(C)C)C#CC(=O)[O-]', '[O-]C(=O)C12C(C)C(C)C(C(C1C)C)(C(C2C)(C)C)C(=O)[O-]', '[O-]C(=O)C12CC(C)(C)C(C(C1C)(C)C)(C(C2(C)C)C)C(=O)[O-]', '[O-]C(=O)C12CC(C)(C)C(C(C1C)C)(C(C2C)C)C(=O)[O-]']"
hMOF-7001723,CCCOC(=CC(=O)[O-])C=CC(=O)[O-].CCCOc1ccc(cc1)C(=O)[O-].[CH2]COc1c([O])c(C=Cc2ccc(cc2[O])C(=O)[O-])ccc1C(=O)[O-].[O-]C(=O)C(=CC=[C]C(=O)[O-])OCOCC.[O-]C(=O)C=CC=CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001723,1.15156,2.22745,2.6705,3.50155,4.09923,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOC(=CC(=O)[O-])C=CC(=O)[O-]', 'CCCOc1ccc(cc1)C(=O)[O-]', '[CH2]COc1c([O])c(C=Cc2ccc(cc2[O])C(=O)[O-])ccc1C(=O)[O-]', '[O-]C(=O)C(=CC=[C]C(=O)[O-])OCOCC', '[O-]C(=O)C=CC=CC(=O)[O-]']"
hMOF-1004007,ClC1=Cc2c(C(=[C]1)Cl)c(C(=O)[O-])c(cc2C(=O)[O-])Cl.[O-]C(=O)C1=C2C(=[C]C=C(C2=C(C(=[C]1)Cl)C(=O)[O-])Cl)Cl.[O-]C(=O)C1=CC(=C(C(=[C]1)Cl)C(=O)[O-])Cl.[O-]C(=O)C1=C[C]=C(C(=C1)Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.495734,1.87536,2.66169,4.2258,4.94252,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['ClC1=Cc2c(C(=[C]1)Cl)c(C(=O)[O-])c(cc2C(=O)[O-])Cl', '[O-]C(=O)C1=C2C(=[C]C=C(C2=C(C(=[C]1)Cl)C(=O)[O-])Cl)Cl', '[O-]C(=O)C1=CC(=C(C(=[C]1)Cl)C(=O)[O-])Cl', '[O-]C(=O)C1=C[C]=C(C(=C1)Cl)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-]']"
hMOF-1004139,CC1=CC(C)(C=C([C]1C)C(=O)[O-])C1(C)C=C([C]C=C1C)C(=O)[O-].Cc1cc(C)c2c(c1)c(cc(c2C(=O)[O-])C)C(=O)[O-].[O-]C(=O)C1=C(C)C2C3C([CH]1)(C)C1C3C2[CH]C(=C1C)C(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])C)C.[O-]C(=O)C=CC(=C(C(=O)[O-])C)C.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct.cat0,0.529203,1.86426,2.65135,4.12694,4.87377,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CC1=CC(C)(C=C([C]1C)C(=O)[O-])C1(C)C=C([C]C=C1C)C(=O)[O-]', 'Cc1cc(C)c2c(c1)c(cc(c2C(=O)[O-])C)C(=O)[O-]', '[O-]C(=O)C1=C(C)C2C3C([CH]1)(C)C1C3C2[CH]C(=C1C)C(=O)[O-]', '[O-]C(=O)C=C(C=C(C(=O)[O-])C)C', '[O-]C(=O)C=CC(=C(C(=O)[O-])C)C']"
hMOF-7001326,[O-]C(=O)C12C3(F)C4C2(C2(C1(C3C42C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])F)F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7001326,1.75647,2.46008,2.64792,2.71312,2.75723,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C12C3(F)C4C2(C2(C1(C3C42C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])F)F']"
hMOF-7001325,[O-]C(=O)C12C3(F)C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F.[O-]C(=O)C12C3(F)C4C2(C2(C1(C3C42C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4(C2(C2C1(C3(C42C(=O)[O-])F)F)F)F.[O-]C(=O)C12C3C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F.[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])F)F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7001325,1.79762,2.41741,2.64455,2.68842,2.72511,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['[O-]C(=O)C12C3(F)C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F', '[O-]C(=O)C12C3(F)C4C2(C2(C1(C3C42C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4(C2(C2C1(C3(C42C(=O)[O-])F)F)F)F', '[O-]C(=O)C12C3C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F', '[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])F)F']"
hMOF-7001118,FOC1([O])[C]2C(F)C3([C]4C51C2[C]1C5C[C](C4[C]31)[C]([O])O)F.FOC1([O])[C]2C3C41[C]1C(C2(F)F)([C]2[C]3C4(F)C([C](C12)[C](O)[O])(F)F)F.[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])F.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7001118,0.738994,1.82791,2.64261,3.87524,4.61629,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['FOC1([O])[C]2C(F)C3([C]4C51C2[C]1C5C[C](C4[C]31)[C]([O])O)F', 'FOC1([O])[C]2C3C41[C]1C(C2(F)F)([C]2[C]3C4(F)C([C](C12)[C](O)[O])(F)F)F', '[O-]C(=O)C#CC(=O)[O-]', '[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])F']"
hMOF-1003174,CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-].CCc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.405489,1.59235,2.62868,4.24129,5.51168,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC', 'CCc1cc(cc(c1C(=O)[O-])CC)C(=O)[O-]', 'CCc1cc(ccc1C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-7001086,CCCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])[O].CCCOc1c(ccc(c1OCCC)C(=O)[O-])C(=O)[O-].CC[CH]OC1=[C]C(=CC(=C1)C(=O)[O-])OC[CH2].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.hex.cat0;7001086,0.956666,2.2359,2.62729,3.23273,3.69391,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])[O]', 'CCCOc1c(ccc(c1OCCC)C(=O)[O-])C(=O)[O-]', 'CC[CH]OC1=[C]C(=CC(=C1)C(=O)[O-])OC[CH2]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1OCCC)C(=O)[O-]']"
hMOF-1004558,CCC1=C([C])[C]=c2c(=C1)c(CC)c(CC)c1c2cc(c2c1cc(cc2)C(=O)[O-])CC.[CH2]C.[O].[O].CCc1cc2c3=[C]C(=CC=c3ccc2c2c1cc(CC)c(c2)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.pcu.cat0,0.47708,1.54318,2.62137,5.66128,7.48673,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCC1=C([C])[C]=c2c(=C1)c(CC)c(CC)c1c2cc(c2c1cc(cc2)C(=O)[O-])CC', '[CH2]C', '[O]', '[O]', 'CCc1cc2c3=[C]C(=CC=c3ccc2c2c1cc(CC)c(c2)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]']"
hMOF-1003716,CCC(=CC(=O)[O-])C=C(C(=O)[O-])CC.CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.CCc1cc(C(=O)[O-])c(cc1C(=O)[O-])CC.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0,0.552622,2.01816,2.59007,4.19143,5.00015,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCC(=CC(=O)[O-])C=C(C(=O)[O-])CC', 'CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cc(C(=O)[O-])c(c(c1C(=O)[O-])CC)CC', 'CCc1cc(C(=O)[O-])c(cc1C(=O)[O-])CC', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']"
hMOF-7001223,CCC(=C(C(=O)[O-])CC)C=CC(=O)[O-].CCC(=CC(=O)[O-])C(=CC(=O)[O-])CC.CCC12C3C4C2(C2(C1C3(C42CC)C(=O)[O-])CC)C(=O)[O-].CCC12[CH]C(=CC([CH]1)(CC)C1[CH]C2[CH]C(=C1)C(=O)[O-])C(=O)[O-].CCC1=[C]C(=C([CH]C1(CC)C1([CH2])C=C[C]C(=C1)C(=O)[O-])C(=O)[O-])CC.[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bct.cat0;7001223,1.10056,2.0262,2.56655,3.26535,3.57352,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCC(=C(C(=O)[O-])CC)C=CC(=O)[O-]', 'CCC(=CC(=O)[O-])C(=CC(=O)[O-])CC', 'CCC12C3C4C2(C2(C1C3(C42CC)C(=O)[O-])CC)C(=O)[O-]', 'CCC12[CH]C(=CC([CH]1)(CC)C1[CH]C2[CH]C(=C1)C(=O)[O-])C(=O)[O-]', 'CCC1=[C]C(=C([CH]C1(CC)C1([CH2])C=C[C]C(=C1)C(=O)[O-])C(=O)[O-])CC']"
hMOF-7000444,CCC(=CC#CC(=O)[O-])C#CC(=O)[O-].CCc1c(CC)cc(c(c1CC)C(=O)[O-])CC.CCc1cc(C(=O)[O-])c(cc1CC)CC.CCc1c(CC)cc(c(c1CC)C(=O)[O-])CC.CCc1cccc(c1C(=O)[O-])CC.CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-].CCc1cc(ccc1C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;7000444,0.582584,1.83981,2.55622,3.63019,4.41468,[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"['CCC(=CC#CC(=O)[O-])C#CC(=O)[O-]', 'CCc1c(CC)cc(c(c1CC)C(=O)[O-])CC', 'CCc1cc(C(=O)[O-])c(cc1CC)CC', 'CCc1c(CC)cc(c(c1CC)C(=O)[O-])CC', 'CCc1cccc(c1C(=O)[O-])CC', 'CCc1c(ccc(c1CC)C(=O)[O-])C(=O)[O-]', 'CCc1cc(ccc1C(=O)[O-])C(=O)[O-]']"
